outcome,unit,exposure,n,groups,beta,se,ci_low,ci_high,p,aic,delta_aic_vs_base,lr_p,r2_marginal,r2_conditional,loso_rmse,loso_rmse_base,cv5_rmse,cv5_r2,delta_aic_vs_best
CO2 × 不一致（干擾）,單題,Wa1,1015,12,0.0012,0.0021,-0.0028,0.0053,0.553,-324.1068,5.1269,0.8319,0.0166,0.2804,,,,,0.0972
CO2 主效應（中性題，log RT）,單題,Wa2,1015,12,-0.0004,0.0016,-0.0034,0.0027,0.8125,-324.204,5.0297,0.8084,0.0166,0.2803,,,,,0.0
CO2 × 不一致（干擾）,單題,Wa2,1015,12,0.0015,0.0021,-0.0027,0.0056,0.4942,-324.204,5.0297,0.8084,0.0166,0.2803,,,,,0.0
CO2 主效應（中性題，log RT）,單題,Avg,1015,12,-0.0004,0.0015,-0.0034,0.0027,0.8184,-324.1522,5.0815,0.821,0.0166,0.2804,,,,,0.0518
CO2 × 不一致（干擾）,單題,Avg,1015,12,0.0013,0.0021,-0.0028,0.0055,0.5234,-324.1522,5.0815,0.821,0.0166,0.2804,,,,,0.0518
Stroop 平均反應時間（Wa1 全部場次）,人次,Wa1,54,12,0.3165,1.6532,-2.9237,3.5567,0.8482,,,,,,,,,,
心率 (bpm)，未控制時間,5 分鐘,Wa1,424,46,-0.3109,0.1645,-0.6333,0.0115,0.0587,3111.1901,-1.5262,0.0604,0.1113,0.6691,13.7284,13.8635,8.7475,0.6174,0.6188
心率 (bpm)，未控制時間,5 分鐘,Wa2,424,46,-0.3384,0.1651,-0.662,-0.0147,0.0405,3110.5713,-2.145,0.0418,0.1136,0.6701,13.7228,13.8635,8.7407,0.618,0.0
心率 (bpm)，未控制時間,5 分鐘,Avg,424,46,-0.3254,0.165,-0.6488,-0.0019,0.0486,3110.8783,-1.838,0.0501,0.1125,0.6696,13.7253,13.8635,8.7441,0.6177,0.307
心率 (bpm)，控制上課經過時間,5 分鐘,Wa1,424,46,-0.1148,0.1935,-0.494,0.2645,0.5531,3109.1012,1.6522,0.5554,0.097,0.673,13.9424,13.872,8.7004,0.6215,0.1794
心率 (bpm)，控制上課經過時間,5 分鐘,Wa2,424,46,-0.1434,0.1962,-0.5279,0.2412,0.4649,3108.9217,1.4728,0.4678,0.0985,0.6726,13.9323,13.872,8.7004,0.6215,0.0
心率 (bpm)，控制上課經過時間,5 分鐘,Avg,424,46,-0.1293,0.1951,-0.5117,0.2532,0.5077,3109.0154,1.5664,0.5102,0.0978,0.6728,13.9373,13.872,8.7004,0.6215,0.0937
HRV log(RMSSD)，未控制時間,5 分鐘,Wa1,94,17,0.0189,0.0113,-0.0033,0.0411,0.0954,30.3215,-0.6503,0.1035,0.0752,0.7742,0.4688,0.4899,0.2533,0.6799,0.358
HRV log(RMSSD)，未控制時間,5 分鐘,Wa2,94,17,0.0203,0.0114,-0.002,0.0426,0.0749,29.9635,-1.0083,0.0828,0.0825,0.773,0.4648,0.4899,0.2526,0.6815,0.0
HRV log(RMSSD)，未控制時間,5 分鐘,Avg,94,17,0.0197,0.0114,-0.0026,0.042,0.084,30.1328,-0.8391,0.092,0.0795,0.7738,0.4668,0.4899,0.2529,0.6808,0.1693
HRV log(RMSSD)，控制上課經過時間,5 分鐘,Wa1,94,17,0.0194,0.0123,-0.0047,0.0435,0.1151,32.3109,-0.3191,0.1278,0.0789,0.7743,0.4698,0.4919,0.2551,0.6754,0.3941
HRV log(RMSSD)，控制上課經過時間,5 分鐘,Wa2,94,17,0.0214,0.0125,-0.0031,0.046,0.0869,31.9168,-0.7132,0.0995,0.0914,0.7733,0.4649,0.4919,0.2541,0.6778,0.0
HRV log(RMSSD)，控制上課經過時間,5 分鐘,Avg,94,17,0.0205,0.0124,-0.0039,0.0449,0.0995,32.1067,-0.5234,0.1122,0.0857,0.7739,0.4673,0.4919,0.2546,0.6767,0.1899
